text1,text2,label
物理位置选择,机房具有验收文档；,1
物理位置选择,天花板、窗台无水渗漏现象；,1
物理位置选择,机房无窗户，或者有窗户且采取了防护措施；,1
物理位置选择,现场观测屋顶、墙体、门窗和地面等，无开裂现象。,1
物理位置选择,机房未设置在建筑物的顶层或地下室；,1
物理位置选择,设置在建筑物的顶层或地下室的机房，采取了严格的防水和防潮措施。,1
物理访问控制,机房出入口是配备电子门禁；,1
物理访问控制,电子门禁系统工作正常，可对进出人员进行鉴别；,1
物理访问控制,电子门禁系统可以鉴别、记录进入的人员信息；,1
物理访问控制,无电子门禁，但有机械门锁，专人值守，进入机房需填写机房进出记录。,1
防盗窃和防破坏,机房内的设备均放置在机柜或机架上，并已固定；,1
防盗窃和防破坏,设备或主要部件均设置了不易除去的标识（如果使用粘贴标识，则不能有翘起现象）。,1
防盗窃和防破坏,机房通信线缆铺设在线槽或桥架里。,1
防盗窃和防破坏,机房内配置了防盗报警系统或有专人值守的视频监控系统；,1
防盗窃和防破坏,在进行现场观测时，防盗报警系统或视频监控系统工作正常。,1
防雷击,机房内所有机柜、设施和设备等均已采取接地的控制措施。,1
防雷击,机房内采取了防感应雷措施，如设置了防雷感应器、防浪涌插座等；,1
防雷击,防雷装置通过了国家有关部门的技术检测。,1
防火,机房内设置火灾自动消防系统，如二氧化碳灭火器等；,1
防火,在进行现场观测时，火灾自动消防系统工作正常；,1
防火,火灾自动消防系统通过了验收或国家有关部门的技术检测；,1
防火,若无自动消防装置，具有自动火灾报警装置，如烟感探头；,1
防火,手提灭火器适合做机房灭火器，如二氧化碳灭火器。,1
防火,机房使用的所有材料为耐火材料，例如使用墙体、防火玻璃等，但使用金属栅栏的情况不能算符合。,1
防火,机房进行了区域划分，例如过渡区、主机房；,1
防火,机房内各区域之间部署了防火隔离装置。,1
防水和防潮,机房采取了防雨水渗透的措施，如封锁了窗户并采取了防水措施、屋顶和墙壁均采取了防雨水渗透的措施。,1
防水和防潮,机房内配备了具有除湿功能的设备来防止水蒸气结露；,1
防水和防潮,机房内部署了漏水检测装置，可以对漏水进行监控和报警。,1
防水和防潮,机房内部署了漏水检测装置，例如漏水检测绳等；,1
防水和防潮,在进行现场观测时，防水检测和报警装置工作正常。,1
防静电,机房内安装了防静电地板；,1
防静电,机房内采用了接地的防静电措施。,1
防静电,机房内配备了静电消除设备。,1
温湿度控制,机房内配备了专用的精密空调；,1
温湿度控制,机房内温度设置在18~27摄氏度，湿度范围是35%~75%；,1
温湿度控制,机房配置普通空调无法调节湿度；,1
温湿度控制,记录空调的数量以及型号。,1
电力供应,机房内的计算机系统供电线路上设置了稳压器和过电压防护设备；,1
电力供应,在进行现场观测时，稳压器和过电压防护设备工作正常。,1
电力供应,机房配备了UPS系统；,1
电力供应,UPS系统能够满足短期断电时的供电要求；,1
电力供应,记录UPS数量以及厂家、型号。,1
电力供应,机房配备了冗余的供电线路，如市电双路接入；,1
电力供应,主要设备双电源供电；,1
电力供应,供电线路连源于两个不同变电站。,1
电磁防护,机房内电源线缆和通信线缆隔离铺设，例如通过线槽或桥架进行隔离。,1
电磁防护,为关键设备（例如加密机）采取了电磁屏蔽措施，例如配备屏蔽机柜或屏蔽机房。,1
